,food,description
7381,김치어묵우동,우동면 멸치다시마육수 사각어묵 익은배추김치 다진파
7382,냉이김치된장국,손질한 냉이 익은김치 물 멸치 대파
7383,세발나물겉절이,세발나물
7384,멸치덮밥,참나물 밥 달걀 잔멸치 양파 통깨 기름 약간 맛술 청주 참기름 소금 약간 소금 약간 참기름 약간 후추 약간
7385,채소된장라면,라면 시금치 당근 약간 호박 약간 청양고추 대파 물
7386,아몬드캐러멜라이즈,커피 아몬드
7387,홍차초콜릿,다크 커버처 초콜릿 홍차삼각티 생크림 올리고당
7388,만두전골,김치 만두 고기완자 대파 청양고추 표고버섯 조금 팽이버섯 조금 느타리버섯 조금 두부 작은것
7389,달래두부지짐,두부 달래
7390,소보로파운드케이크,박력분 버터 슈거파우더 달걀 아몬드가루 코코넛가루 베이킹파우더 소보로 적당량 건블루베리 건크린베리
7391,새송이볶음,새송이 맛소금 통깨 약간 기름 약간 청양고추
7392,시금치계란말이,계란 시금치 식용유 약간
7393,카레우동,돼지고기 저지방부위 냉장고속야채 시판카레소스 생수 포도씨유 약간
7394,김치두부무침,익은김치 손두부 통깨 다진마늘 깨소금 참기름 함초소금 설탕 깨소금 참기름 다진마늘 송송 썬 실파 후추가루 약간
7395,쑥두유라떼,쑥가루 두유
7396,주꾸미오겹살두루치기,쭈꾸미 오겹살 전복 만득이 다진마늘 생강즙
7397,미트볼치즈오븐스파게티,스파게티면 엄지와검지사이한줍 미트볼 올리브오일 양파
7398,돼지고기채소말이,돼지고기 앞다리 불고기감 피클 양파 슬라이스 치즈 토핑용 채소 약간
7399,닭고기그라탕,닭고기 양송이 버섯 표고버섯 양파 애호박 가지 다진 마늘 슈레드피자 치즈 슬라이스 치즈 파마산치즈가루 올리브유 후추 약간 소금 약간 생크림 우유
7400,쇠고기카레라이스그라탕,소고기 양지 감자 당근 양파 호박 브로콜리 카레 모짜렐라치즈 파슬리가루 약간 물 소금 후추 약간 맛술
7401,바지락냉이된장국,냉이 청양고추 대파 바지락
7402,안심스테이크까나페,쇠고기안심스테이크용 소금 약간 후춧가루 약간 엑스트라버진올리브오일 적당량 양송이버섯 파마산치즈가루 새싹채소 적당량 곁들일매쉬드포테이토 쇠고기잔살 당근 양파 마늘 완숙토마토 월계수잎 로즈마리 버터 화이트와인 쇠고기육수 스테이크소스 소금 약간 후춧가루 약간
7403,바지락부추달걀국,바지락 달걀 부추 양파
7404,옥수수버터롤,강력분 옥수수가루 소금 설탕 달걀 버터 인스턴드라이이스트 달걀노른자 물
7405,키조개김치볶음,카조개 김치
7406,아삭이고추된장무침,아삭이고추 된장
7407,단호박등심돈까스,돼지고기등심슬라이스 소금 약간 후춧가루 약간 녹말가루 약간 단호박 모차렐라 치즈 파마산치즈가루 케이퍼 소금 약간 후춧가루 적당량 달걀 밀가루 빵가루 건조파슬리
7408,천혜향참치돌나물샐러드,천혜향 큐브참치 방울토마토 건블루베리 돌나물 천혜향즙 올리브유 소금 약간 후추 약간
7409,파인애플떡볶이,떡볶이떡 파인애플 양배추 약간 어묵 대파 검은 통깨 약간 멸치다시마국물
7410,전복버터구이,전복 양파 마늘
7411,비빔김밥,밥 김 단무지 우엉 크래미 시금치
7412,더치베이비팬케이크,박력분 우유 달걀 설탕 버터 약간 과일 기호 시럽 기호
7413,구운가지리코타치즈말이,가지 리코타치즈 블럭
7414,바지락얼갈이국,얼갈이 바지락 대파 홍고추
7415,당근쉬폰케이크,당근 박력분 베이킹파우더 물 카놀라유 달걀흰자 달걀노른자
7416,들깨콩나물무침,콩나물 쪽파 청양고추
7417,참치돌나물샐러드,돌나물 큐브참치 방울토마토 브리치즈 건블루베리 약간 건크린베리 약간 슬라이스아몬드 약간 집된장 땅콩버터 맛술 매실청 꿀 다진양파
7418,콩연근조림,검정콩 연근 통깨 약간 올리고당
7419,얼갈이겉절이,얼갈이배추 부추 소량
7420,콩나물김밥,밥 김 구운김 콩나물 익은배추김치 깻잎
7421,게맛살오이롤,오이 소금 조금 빨강파프리카 노랑파프리카 크래미
7422,달걀,걀 마요네즈 다진마늘 허브가루 약간 프렌치드레싱 소금 적당량 후춧가루 약간 엑스트라버진올리브오일 사과식초 양파 마늘 토마토케첩 설탕 소금 약간 후춧가루 약간 디종머스터드 타바스코 우스터소스 약간
7423,딸기떡케이크,맵쌀가루 찹쌀가루 물 소금 백설탕 딸기가루 건크랜베리 럼주
7424,시금치핫케이크,핫케이크가루 시금치 달걀 우유
7425,닭고기감자찜,닭넙적다리살 감자 양파 홍고추 깻잎 들깨가루 다시마물
7426,곶감파운드케이크,달걀 설탕 박력분 식물성오일 우유 레몬즙 반건조 곶감 슈가파우더 레몬즙 우유 시나몬가루
7427,데리야끼닭꼬치,닭가슴살 소금 조금 후춧가루 조금 우유 대파 흰부분 마늘 빨강파프리카 꽈리고추 정도 마른홍고추 양파 생강가루 조금 대파 마늘 물 물엿 설탕 청주 간장 통후추 대추
7428,크림치즈모카번,강력분 유기농통밀가루 인스턴트드라이 이스트 소금 포도씨유 유기농황설탕 생크림 우유 봐 주세요 크림치즈
7429,굴계란찜,굴 조절해서 사용하시면 됩니다 계란 생수 소금 약간 대파 조금 마늘 청주 생강즙 참기름
7430,블루베리크림치즈케이크,박력분 버터 크림치즈 설탕 소금 베이킹파우더 우유 바닐라 엑스트랙 블루베리 달걀
7431,삼겹살김치두루치기,김치 삽겹살 두부
7432,와인삼겹살조림,삼겹살 돌나물 오이 양파 와인 간장 물 흙설탕 간장 식초 설탕 고춧가루 깨소금 참기름
7433,냉이바지락된장국,냉이 바지락 기호 마늘 육수
7434,새송이버섯마늘종조림,마늘쫑
7435,마끼,밥 크램미 오이 압착 단무지 김 날치알 붉은고추 다진 김치 설탕 소금 조금 식초 설탕 참기름 깨소금
7436,닭가슴살데리야끼조림,닭가슴살 새송이버섯 브로콜리 빨강파프리카 주황파프리카 통깨 약간 간장 청주 맛술 비정제 황설탕 물 통마늘 마른고추
7437,나베,돼지고기 등심 슈레드피자치즈 달걀 빵가루 적당량 튀김가루 적당량 신김치 양파 청양고추 채썬당근 약간 멸치다시마 국물 고춧가루 다진마늘 슬라이스 치즈
7438,달래크림스튜,돼지고기안심 감자 양파 당근 달래 물 버터 생크림 우유 소금 약간 후추 약간
7439,돼지고기국수,돼지등갈비 돼지안심 소면 양파 대파 고추 무 청주 물
7440,들깨버섯두부전골,모듬버섯 두부 양파 애호박 약간 청양고추 미나리
7441,굴레몬파스타,스파게티 싱싱한 생굴 마늘 신선한 레몬
7442,코울슬로샌드위치,버터롤이나 모닝빵 돌나물 적채 당근 삶은달걀 플레인요플레
7443,도다리쑥국,도다리 쑥 적당량
7444,참치키슈,박력분 버터 소금 찬물 설탕 말린 표고버섯 양파 당근 까망베르치즈 까망베르치즈 생크림 통조림 참치 달걀 소금 약간 후추 약간 파슬리가루 약간 바질가루 약간
7445,콩탕,생콩가루 대파 물 말린굴 참기름 청양고추 굵은고춧가루 물 소금
7446,양배추소고기국,양배추 쇠고기 국거리용 멸치다시마육수 대파 국간장 소금 오징어 무 멸치다시마육수 대파 국간장 소금 후추가루 소량 감자 달걀 대파 멸치다시마육수 국간장 다진마늘 소금 후추가루 소량 참기름
7447,오렌지찹쌀탕수육,돼지고기 등심 목이버섯 양파 불린 목이버섯 오렌지 오이 당근 조금 찹쌀가루 계란
7448,옥수수크림빵,강력분 옥수수가루 물 인스턴 드라이이스트 소금 계란 버터 개량제 분유 크림파티쉐 우유
7449,김치굴전,굴 익은 김치 맵쌀가루 튀김가루 물 계란
7450,클라푸티,박력분 전분 달걀 설탕 소금 우유 생크림 딸기 라즈베리
7451,버섯달걀말이,표고버섯 황금팽이버섯 팽이버섯 양파 달걀
7452,흑임자피칸파운드,우리밀중력분 베이킹파우더 소금 비정제황설탕 꿀 달걀 우유 포도씨유 바닐라엑스트렉 피칸
7453,참치돌나물토스트,돌나물 참치 식빵 방울토마토 모짜렐라치즈 적당량 카우치즈 약간 숙성치즈 약간
7454,마늘쫑햄볶음밥,시판햄 마늘쫑 밥 버터 참기름 포도씨유
7455,두부깻잎소보로,두부 깻잎 감자전분 식용유 적당량 재래식 된장 미림 갈은 볶은깨 참기름
7456,두부천혜향샐러드,생식두부 천혜향 양상추 적당량 건블루베리 건크리베리
7457,어묵깐풍기,어묵 전분 기름 홍고추 다진 브로콜리
7458,새송이미소볶음,새송이 버섯 대파 다진 마늘 청양고추
7459,어묵주먹밥,잡채미니어묵 현미밥 장식용김 약간 장식브로콜리 약간 카레 소금 약간 참기름 다진브로콜리 소금 약간 참기름 소금 약간 참기름 맛술 간장 설탕
7460,버섯영양밥,쌀 표고버섯 은행 적당양 소고기 약간 간장 상관없읍니다 물엿 기호에따라조금만 참기름 통깨 약간 고추가루
7461,브리오슈,강력쌀가루 홍삼분 달걀 물 인스턴드라이스트 소금 버터 설탕 달걀노른자 물
7462,카레시금치김밥,밥 시금치 무침 김
7463,홍차계란장조림,계란 홍차
7464,오징어메추리알조림,반건조오징어 메추리알 참기름 올리고당 통깨 약간
7465,달걀잡채,달걀 실파 당면 당근 길이로 양파
7466,김치군만두,만두피 김치 잡채면 당근 대파 양파
7467,등심스테이크볶음,등심 화이트와인 올리브유 허브솔트 홍피망 청피망 팽이버섯 양파 우스터소스 굴소스 다진마늘
7468,시래기나물볶음,시래기
7469,빵도넛,호떡믹스 이스트 물 달걀 설탕 기호 시나몬가루 약간 달걀노른자 물
7470,건자두호두머핀,오일 달걀 설탕 중력분 베이킹소다 소금 시나몬가루 버터밀크 식초 대체 가능 건자두 호두 분태
7471,키위쨈,키위 정도 설탕 요리당 레몬즙 약간
7472,모카초코칩스콘,중력분 설탕 베이킹파우더 차가운버터 계란 초코칩 뜨거운물 커피가루
7473,돼지고기고추장감자찌개,돼지고기 목살 감자 애호박 대파 청양고추 멸치다시마육수 물 국물용멸치 다시마 고추씨
7474,닭가슴살야채샐러드,닭가슴살 달걀 우리밀 중력분 빵가루 아몬드슬라이스 식용유 적당량 로메인 치커리 양상추 부추등등
7475,후렌치후라이,고구마큰걸로 슬라이스치즈 우유 파마산치즈가루
7476,더치쌀빵,강력 쌀가루 물 인스턴 드라이이스트 설탕 소금 달걀 흰자 버터 제빵개량제 분유 멥쌀가루 밀가루중력분 인스턴 드라이이스트 설탕 소금 물 버터
7477,오징어꼬마김밥,반건조오징어 우유 설탕 단무지 시금치 밥 김
7478,삼겹살참나물샐러드,삼겹살 참나물 건표고 홍삼가루 마늘 통후추 대파 커피
7479,베이컨계란말이주먹밥,베이컨 양파 당근 고추 밥 달걀
7480,밀쌈,달걀 파프리카 표고버섯 당근 애호박 고기
7481,상추쌈밥,돼지고기 등심 표고버섯 양파 샐러리 약간
7482,명란감자피자,감자 명란젓
7483,짜조,돼지고기 다짐육 냉동 새우 표고버섯 당면 무게 양파 부추 달걀 라이스 페이퍼 약간
7484,돌나물물김치,돌나물 물 배 마늘 생강 홍고추 청고추 생강 굵은소금 찹쌀가루 물
7485,카레치킨까스,닭안삼 허브솔트 카레 밀가루 달걀 빵가루 파슬리가루
7486,주꾸미버터구이,주꾸미 청주 소금 조금 버터 간장 물엿 후춧가루 조금 찹쌀가루 통깨 조금
7487,오렌지필,오렌지 껍질 분량 정도 설탕 물
7488,양파절임,무 양파 청양고추
7489,미나리오징어무침,미나리 오징어
7490,달래마늘파스타,파스타면 달래 마늘 새우 냉이 크림스프분말 물
7491,들깨가루계란찜,계란 멸치육수 소금 생강술 다진마늘 들깨가루 다진파 새우젓 고추가루 들기름 후추 약간 통깨 약간
7492,두릅초무침,두릅 굵은거 굵은소금 약간 데칠물 넉넉히
7493,명란젓볶음밥,밥 명란젓 양파 작은것 피망 실부추
7494,밥통계란찜,계란 우유
7495,부추달걀말이,달걀 크래미 맛살 부추
7496,청포도타르트,미타르트 박력분 아몬드가루 슈거파우더 버터 달걀노른자 소금 크림치즈 생크림 설탕 레몬즙 연유 청포도 약간 애플민트
7497,명란두부조림,부침용 두부 곱게간마늘 간양파 후추 약간 참기름 적당양
7498,비엔나소시지튀김,비엔나소시지 식빵 튀김가루 또는 핫케이크믹스 계란 우유
7499,고추조림주먹밥,밥 청양고추 다진마늘 간장 올리고당 후추 약간 참기름
7500,찹쌀케이크,찹쌀가루 베이킹파우더 우유 달걀 호박씨 해바라기씨 건포도 코코넛가루 코코넛 슬라이스 버터 찹쌀떡
7501,돼지고기오징어볶음,돼지고기 목살등심 오징어
7502,시금치딸기샐러드,시금치 딸기 통아몬드 옥수수콘
7503,미나리버섯초무침,돌미나리 느타리버섯
7504,꽁치커틀렛,꽁치 두부 당근 양파 깻잎 빵가루 밀가루 달걀 빵가루 파슬리가루
7505,또띠아퀘사디아,또띠아 돼지고기 안심 파프리카 양파 모짜렐라 치즈 할라페뇨 피클 고추기름 다진마늘
7506,명란연근,연근 작은거 길이 명란젓 참기름 약간 밀가루 강황 전분 소금 튀김용기름
7507,치즈마늘빵,식빵 체다 슬라이스 치즈 다진마늘
7508,냉이깻잎장아찌쌈밥,냉이 현미밥 깻잎장아찌 집된장 마요네즈 매실청 다진마늘
7509,오렌지치킨,닭봉 우유 허브가루 약간 소금 약간 후추 약간 견과류 약간
7510,유채무침,유채나물 적당양 양파
7511,두부메추리알데리야끼조림,두부 양파 건표고버섯 메추리알 양파
7512,레리쉬,토마토 양파 마늘 생강 소금 약간 식초 설탕 넛맥 씨겨자 칠리파우더
7513,시금치된장두부무침,시금치 데친 시금치 두부
7514,생강술,생강 정종
7515,치즈푸실리파스타,푸실리 스모크 치즈 간것 고다치즈 간 것 브로콜리 다진 양파 마늘
7516,초콜릿마카롱,아몬드가루 슈거파우더 달걀흰자 코코아가루 설탕 생크림 다크초콜릿 버터
7517,두릅돼지고기주물럭,돼지고기 두릅
7518,풀치부각,풀치 감자전분 통깨 검은깨 찹쌀가루 물
7519,오징어먹물크림스파게티,오징어먹물스파게티면 햄 양파 홍피망 청피망 계란노른자 우유 생크림 밀가루 소금 조금 후춧가루 조금 올리브오일 조금 버터 파마산치즈가루 조금
7520,소고기짜장밥,짜장가루 다진소고기 감자 양파 양배추 당근 통조림 옥수수 밥
7521,토스트핫도그,식빵 슬라이스치즈 소시지 달걀
7522,고추불고기,쇠고기 양송이버섯 양파 당근 대파 청양고추 마른홍고추작은 것 치커리 조금
7523,뮤즐리,뮤즐리 꿀 버터 메이플시럽 올리고당 비정제황설탕 소금
7524,두릅비빔국수,소면 두릅 당근 약간
7525,참나물도토리묵,참나물 도토리묵 오이 당근
7526,삼겹살구이,삼겹살 유채또는상추나쌈재료 양파다진거 청량고추다진거 마늘 생강즙 청주 멸치생젓국 통깨 약간 고추가루
7527,연근탕수,연근 전분가루
7528,치즈부르스게타,바게트 빵 스모크치즈 토마토대충 포도 적당량 샐러리 약간
7529,식빵카나페,식빵 달걀 슬라이스치즈 토마토 오이
7530,팝콘치킨,닭가슴살 튀김가루 빵가루 달걀
7531,두릅도라지초무침,두릅 도라지
7532,블루베리샌드쿠키,버터 슈거파우더 달걀 소금 가루 우리밀 아몬드가루 베이킹파우더 가루 우리밀 중력분 아몬드가루 블루베리파우더 베이킹파우더
7533,불고기주먹밥,소고기 불고기용 밥 통깨 적당량 검은깨 적당량 간장 다진마늘 설탕 청주 참기름 깨소금 생강가루 후춧가루 톡톡
7534,청포도쌀컵케이크,박력 쌀가루 달걀 베이킹파우더 버터 설탕 바닐라오일 생크림 설탕
7535,날치알채소주먹밥,밥 날치알 레몬즙 두릅 당근 단무지 김
7536,소갈비탕,갈비 양파 무 대파 통마늘 물 청주 무 송송 썬 대파 달걀지단 기호 불린당면 기호
7537,길거리계란빵,핫케익가루 달걀 우유 메추리알 베이컨 슬라이스치즈 소금 약간 마요네즈 적당량
7538,견과류참치쌈장,참치 각종 견과류 당근 애호박 양파
7539,두릅전,두릅 부침가루 계란 물 소금 약간 포도씨유 적당량 냉동새우
7540,치즈퐁듀,각종치즈 총 올리브유 마늘 화이트 와인 각종 채소 적당량 바게트 빵 적당량 전분 작은술 물
7541,망고크런치쉬폰케이크,박력분 달걀 베이킹파우더 한라봉 물 포도씨유 설탕 생크림 설탕 건블루베리 약간 망고크런치 적당량
7542,시금치프리타타,계란 시금치 햄 조금 양파 스모크치즈 조금 토마토 냉동야채 빵가루 슬라이스치즈
7543,방풍나물장아찌,방풍나물 물
7544,꽁치찜,묵은지 꽁치
7545,오이소보로비빔밥,오이 적채 달걀 밥 포도씨유 들기름 숙성치즈 적당량 오이절임용 굵은소금
7546,북어순두부국,북어 적당량 순두부 계란 무우 약간 청량고추 대파 마늘
7547,토마토전,짭짤이 토마토 달걀 밀가루 적당량 식용유 적당량
7548,닭고기조림,두부 닭가슴살 감자 당근 청고추 통마늘 메추리알 간장 물 청주 대파 양파 통후추 건고추 멸치 건표고버섯
7549,고사리고등어조림,고등어 고사리 적당량 생수 또는 육수 청량고추 홍고추
7550,크랜베리베이글,강력분 설탕 소금 포도씨유 인스턴트드라이이스트 우유 검은깨 크림치즈 피칸 조금 호두 조금 크랜베리 조금 메이플시럽 생크림 레몬즙
7551,바지락달걀국,바지락 달걀 양파 대파
7552,바지락감자수제비,감자 녹말가루 생수 다시마 바지락 모시
7553,부지갱이나물무침,부지갱이나물
7554,견과류머핀,박력분 분유 무염버터 설탕 물엿 달걀 달걀노른자 베이킹파우더 생크림 바닐라에센스 견과류
7555,도넛머핀,오일 설탕 달걀 베이킹파우더 소금 중력분 우유 토핑용 설탕 시나몬파우더
7556,크랜베리쿠키,오일 달걀 설탕 소금 중력분 베이킹소다 초콜릿칩 크랜베리
7557,유부부추샐러드,부추 유부 양파 당근 약간
7558,묵은지달걀김밥,밥 묵은지 달걀 김
7559,콩나물비빔국수,국수면 콩나물 상추 기호 삶은달걀
7560,우엉김밥,밥 김 우엉 당근 단무지 시금치 맛살 식초
7561,쑥설기케이크,멥쌀가루 찹쌀가루 볶은콩가루 고운소금 물 설탕 단호박가루 기호 멥쌀가루 찹쌀가루
7562,김치삼겹살두루치기,삼겹살 양파 파 김치잎 두부 고추장 간장 매실액 설탕 다진마늘 다진생강 후추 약간 양파즙 약간 깨소금
7563,야채치즈토스트,식빵 양배추 당근 양파 냉동야채 계란 빵가루 스모크치즈 기호
7564,된장바지락죽,바지락 쌀
7565,떡갈비볶음밥,밥 다진 쇠고기 양파 당근
7566,쇠고기샐러드,쇠고기안심 브로콜리 방울토마토 찹쌀가루 기름 매실청 간장 포도씨유 레몬즙 다진양파 후추 약간 허브솔트
7567,참치볶음달걀말이,달걀 참치 양파 당근 청고추
7568,도토리묵,도토리묵가루
7569,하드롤계란빵,강력분 설탕 탈지분유 소금 인스턴트드라이이스트 우유 포도씨유 검은깨 감자 빨강파프리카 양파 닭가슴살소세지 생크림 우유 파르메산치즈가루 파슬리가루 조금 소금 조금 후춧가루 조금 포도씨유
7570,꽁치깐풍기,꽁치캔 전분 기름 적당량 기름 다진 홍파프리카 다진 청 파프리카 다진 노랑 파프리카 다진 마늘 간장 식초 매실청 청주 물엿 물 홍삼가루 청주
7571,불고기다시마말이,불고기 밥 김치 다시마
7572,캐러멜마카롱,달걀 흰자 아몬드파우더 캐러멜파우더 슈가파우더 흰설탕 코코아파우더 약간 생크림 흰설탕 버터 슈가파우더
7573,꽈리고추꽁치조림,꽁치통조림 무 양파 감자 대파 꽈리고추
7574,네코맘마,흰쌀밥 가쓰오부시 간장 실파 약간
7575,치킨카레,닭다리살 소금 우유 양파 카레가루 허브가루 약간
7576,레몬마늘쫑달걀찜,달걀 마늘쫑 우유 따뜻한물 다시마 까나리액젓 소금 약간 레몬
7577,치즈식빵,식빵 완숙토마토 햄 당근 양파 토마토페이스트 타바스코 허브 적당량 모차렐라치즈 기호
7578,양지살찜,양지살 무우 대추 정도 은행 정도 인삼 생수 마늘 대파뿌리 통후추 생강 청주
7579,홍삼치킨강정,닭가슴살 전분 허브솔트 홍삼분 토마토케첩 홍삼밀원 포도씨유 맛술 다진마늘 간장 물엿 홍삼슬라이스 다진것
7580,매실오이냉국,다시마물 조선오이 양파
7581,바지락달래된장찌개,물 바지락 국물멸치 대파 매운고추 두부 애호박 달래
7582,두릅장아찌,두릅
7583,딸기초코마카롱,아몬드가루 슈거파우더 달걀흰자 딸기가루 설탕 생크링 버터 다크초콜릿
7584,초코모카마블쿠키,버터 설탕 계란 바닐라오일 박력분 코코아가루 우유 박력분 아몬드가루 커피물
7585,풀치마늘쫑볶음,풀치 마늘쫑 소금 물
7586,아몬드치즈토스트,바게트 모짜렐라치즈 슬라이스아몬드 파슬리가루 약간
7587,햄치즈호밀샌드위치,호밀빵 치커리 적당량 토마토 슬라이스치즈 슬라이스햄
7588,소고기야채샐러드,소고기 채끝 어린잎채소 토마토 소금 후춧가루 올리브유 간장 올리고당 식초 다진마늘 참기름 후춧가루 톡톡
7589,도라지,손질된 도라지 소금
7590,옥수수크림스프,통조림 옥수수 감자 양파 물 우유 생크림 물 분유
7591,멸추김밥,멸치 단무지 맛살 시금치 달걀 청고추 슬라이스치즈
7592,소시지주먹밥구이,비엔나소시지 밥 호박 당근 빵가루 약간
7593,닭발볶음,뼈없는 닭발 소금 청주 양파 대파
7594,모닝쌀빵,강력쌀가루 석류주스 달걀 분유 설탕 소금 인스턴드라이이스트 달걀노른자 우유
7595,골뱅이느타리버섯무침,시판 골뱅이 통조림 느타리버섯 오이 당근 단촛물 고추장 식초 설탕 물엿 매실액 양파즙 배즙 통깨 약간 마늘 적당량 식초 설탕 소금 약간
7596,훈제오리부추볶음,훈제오리 부추 양파 마늘 맛간장 천일염 적당량 후춧가루 약간 통깨 약간 식용유
7597,와인통삼겹살오븐구이,통삼겹살 레드와인 간장 올리고당 통후추 월계수잎
7598,달걀토스트식빵피자,식빵 달걀 슬라이스치즈 양파 청피망 후춧가루 조금 카놀라유 파슬리가루 조금
7599,돼지고기떡갈비,돼지고기 안심 표고버섯 양파 청양고추 아스파라거스 식용유 약간
7600,햄치즈스콘,정도 중력분 무염버터 달걀 달걀 노른자 우유 설탕 소금 베이킹파우더 치즈 햄 데친브로콜리 뜨거운 물 전지분유
7601,마늘종계란장조림,계란 마늘종 마늘 올리고당
7602,오렌지차,오렌지
7603,곰취장아찌,곰취 두릅순 배 사과 파뿌리 조금 통후추 마른홍고추 마늘 대파흰부분 양파 물 간장 육수 식초 매실액 청주
7604,팔락파니르,인델리 커리 시금치 양파 토마토 돼지고기 안심
7605,훈제오리구이,훈제오리 부추 양파
7606,크랜베리오디모닝빵,우리밀 강력분 오디엑기스 동물성 생크림 우유 올리브오일 천일염 인스턴트 드라이이스트 건크랜베리 럼주 적당량 윗면에 발라줄 달걀물 약간
7607,버섯햄버거,팽이버섯 느타리버섯 표고버섯 새송이버섯 목이버섯 달걀 부침가루 소금 약간 후추 약간 기름 적당량 토마토 햄버거빵 슬라이스치즈 치커리 적당량
7608,콩나물메추리알조림,콩나물 삶아서 껍질을 깐 메추리알 당근 길이 청고추
7609,야채샐러드,냉장고속야채 참치 견과류 들깨가루 흑임자 식초 설탕 마요네즈 양파 소금 조금 요플레
7610,두부고추장떡,두부 애호박 청양고추 홍고추 물 밀가루
7611,비엔나소시지볶음,비엔나소시지 적당량 샐러리 메추리알
7612,갈릭허니브레드,식빵 버터 다진마늘 허브가루 약간
7613,버섯또띠아피자,느타리버섯 새송이버섯 팽이버섯 표고버섯 또띠아
7614,수박껍질들깨볶음,겉껍질 제거한 수박속껍질 절일 소금
7615,김밥샌드위치,식빵 김밥용 햄 김밥용 단무지 게맛살 오이 김밥용 단무지 달걀
7616,소고기숙주볶음,소고기 숙주나물 당근 청피망 카놀라유 소금 적당량 검은깨 조금 굴소스
7617,훈제닭가슴살그린샐러드,훈제 닭가슴살 베이비채소 리코타치즈 적당량 엑스트라버진 올리브오일 발사믹식초 디종머스터드 소금 후춧가루 약간 검은깨
7618,참치샐러드김밥,밥 참치캔 크래미 깻잎 오이 마요네즈 허니머스타드 소금 약간 후추 약간 소금 참기름 통깨
7619,참치롤샌드위치,식빵 참치캔 오이 햄 약간 양파 약간 마요네즈 백후추 약간 마요네즈 머스터드 소스
7620,우엉찹쌀구이,우엉 찹쌀가루 식용유 적당량
7621,미니브라우니,다크초콜릿 버터 비정제 황설탕 소금 달걀 초콜릿 리큐르 우리밀 중력분 코코넛가루 아몬드가루 토핑용 견과류 적당량
7622,크림치즈파이,박력분 계란 버터 분당 소금 크림치즈 홈메이드 요쿠르트 설탕 계란 레몬즙
7623,햄볶음밥,옥수수 청피망 양파 당근 비엔나 소시지 밥
7624,훈제오리그라탕,훈제오리 머스타드소스
7625,소시지마늘쫑스크램블볶음밥,비엔나소시지 마늘쫑 밥 달걀
7626,소시지김밥,소시지 김치잎 양파
7627,장조림버터비빔밥,닭가슴살 물 계란
7628,우렁쌈장,우렁 미림 참기름 다시마육수 된장 고춧가루 다진마늘 다진파 청양고추 다진것
7629,닭모래집숙주볶음,닭모래집 대파 양파 청양고추 숙주나물
7630,비빔메밀국수,오이 양파 당근 길이로 메밀국수
7631,크린베리모카쌀빵,강력쌀가루 찬물 인스턴 드라이스트 제빵개량제 소금 설탕 버터 분유 계란 커피 밀가루박력분 달걀 버터 설탕 베이킹파우더 우유 소금
7632,참치호밀샌드위치,호밀빵 참치캔 홀파프리카 다진오이피클 토마토 치커리 적당량
7633,참외오이냉국,참외 오이 멸치다시육수
7634,돌미나리상추된장전,돌미나리 상추 팽이버섯 부침가루 달걀 홍고추 약간 물 적당량
7635,아이스레몬티,홍차티백 레몬 끓는물 시럽이나 꿀 약간 얼음 적당량
7636,두릅돼지고기볶음,목살 기름 통깨
7637,떡케이크,멥쌀가루 아사이베리퓨레 소금 아몬드가루 딸기가루 물 적당량 비정제황설탕 한천가루 물 아사이베리퓨레 물엿 녹말물 물 설탕
7638,블루베리식빵,우리밀 강력분 인스턴트 드라이이스트 소금 설탕 물 우유 올리브오일 블루베리파우더 잼 적당량
7639,불고기떡볶음,쇠고기 불고깃감 가래떡 당면 표고버섯 당근 양파 참기름 통깨 약간 검은깨 약간 식용유 적당량 간장 매실엑기스 비정제황설탕 참기름 다진마늘 후춧가루 약간 비정제 황설탕 참기름
7640,오징어진미채볶음,오징어채 참기름 통깨
7641,호두타락죽,불린쌀 물 우유 호두 소금
7642,마늘종견과류볶음,마늘종 견과류 홍고추
7643,두부달걀찜,달걀 우유 표고버섯 두부
7644,참치마요덮밥,참치 양파 달걀 깻잎 다진 피클 밥
7645,요쿠르트,미지근한물 탈지분유 시판 요쿠르트
7646,소시지마늘쫑칠리볶음,소시지 마늘쫑 통깨
7647,버섯해물누룽지탕,누룽지 오징어 굴소스 소금 약간 육수 야채 마늘 물녹말 녹말 물
7648,차돌박이쌈장,차돌박이 양파 청양고추 표고버섯 물
7649,양파청경채볶음,햇양파 청경채 약간
7650,소시지볶음밥,밥 수제소시지 빨강파프리카 양파 표고버섯 당근 달걀 우유 소금 식용유
7651,우엉쌈밥,우엉잎 쌈장 참기름 통깨 다진마늘 불고기 간장 설탕 후추 약간 맛술 배즙 올리고당 참기름 다진마늘 다진파 통깨
7652,오야코동,밥 돼지고기 안심 달걀 양파 팽이버섯
7653,등갈비바베큐폭립,돼지등갈비 단호박 약간 브로콜리 약간 통후추 월계수잎 대파 생강 마늘 소주 약간 정향
7654,두부소보로덮밥,부침용 두부 밥 참치캔 달걀 마늘쫑
7655,파인애플카레라이스,돼지고기 양파 당근 감자 파인애플
7656,포도카나페,식빵 치커리 어린잎채소 딸기쨈 치즈 포도 바나나
7657,미더덕근대된장국,근대 미더덕 마늘 된장
7658,치킨퀘사딜라,닭가슴살캔 또띠아 양파 당근 청피망 피자치즈 기호
7659,방풍나물된장무침,방풍나물 양파
7660,오레오쉐이크,오레오쿠키 우유 바닐라아이스크림 얼음 생크림 적당량 장식용쿠키
