food,description
베이컨달걀볶음,달걀 베이컨 양파 쪽파 기름 소금 후추
아스파라거스볶음밥,아스파라거스
버터오징어볶음밥,식용유 버터 마늘 양파 대파 오징어다리 허브솔트 밥 굴소스 통깨 약간 계란후라이
부대찌개양념장,스팸 빨간콩 김치 조금 느타리버섯 팽이버섯 소세지 파 양파 다진마늘 치즈 어묵 조금 떡국떡 간장 설탕 고추장 다진마늘 후추 고추가루
김치참치주먹밥,참치 참치 김치 밥 깨 참기름 김
오렌지청,오렌지 설탕 레몬
베이컨타코,비비고 송송이 김치 베이컨 또띠아 토마토 다진 양파 파프리카 설탕 식초 소금 약간 레몬즙
마카로니샌드위치,감자 달걀 옥수수 마카로니 완두콩 땅콩 너트 슬라이스아몬드 조금 식빵
게튀김,금게 마늘 약간 땡초 통칠리 약간 파프리카 양파 감자 굴소스 설탕 스윗칠리소스 케쳡 전분물
멜론자르기,멜론
검은깨멸치볶음,가이리멸치
짬짜면,짜파게티 맛짬뽕 삶은메추리알 대파 고춧가루
돈페이야끼,삼겹살 계란 양파 숙주 마요네즈 오꼬노미소스 우유 후추 가츠오부시 소주
명란잔치국수,소면 백명란 애호박 당근 약간 양파 식용유 소금 약간 후추 약간 다시마 황태머리 양파껍질 애호박 매운건고추 부추 고춧가루 양조간장 매실청 참기름 참깨
홍초젤리,판 젤라틴 홍초 물 후르츠칵테일
떡갈비콩나물밥,쌀 콩나물 시판 냉동 떡갈비 약간 김가루 깨 참기름 양념장
야채볶음김밥,각종야채 표고버섯 소금 식용유 고춧가루 간장 올리고당 참기름 밥 후리가케혹은김자반 생김
만두구이,물 간장 식초 올리고당 참기름 약간 냉동군만두 양파 당근 청양고추 대파 달걀 식용유 후춧가루
고추장당면찌개,당면 감자 양파 애호박 대파 청양고추 버섯 떡국떡
하트초코쿠키,버터 설탕 소금 바닐라에센스 달걀흰자 박력분 베이킹파우더 코코아파우더 크림치즈
게살송이버섯볶음,게살 죽순 은행 송이 청경채 아스파라거스 대파 마늘 생강 크노르 치킨부용 크노르 칠리 시즈닝 소스 물 소금 적당한양 후추 적당한양 파기름 적당한양 참기름 적당한양 정종 적당한양
게살두부,크노르 치킨 부용 크노르 치킨 그래뉼 크노르 치킨부용 육수 게살 두부 완두콩 파 마늘 정종
키위치즈토스트,키위 치즈 식빵 모짜렐라치즈 꿀
새우우럭매운탕,우럭매운탕거리 새우 무 다시마 두부 팽이버섯 콩나물 깻잎 쑥갓
불고기스테이크,돼지고기앞다리살 불고기용 피망 양파 마늘 소금 약간 후추 밑간용 버터 밀가루 설탕 간장 식초 케찹 후추 약간
콩나물팽이버섯볶음,콩나물 팽이버섯 빨간고추 쪽파 다진거조금 다진마늣 조금
곰탕면,시판라면 대파 청양고추 시판 사골곰탕
김치콩나물뚝배기,신김치 콩나물 대파 양파 물 멸치 다시마조각
평양냉면,소고기양지 월계수잎 통후추 양파 통마늘 대파 동치미 백김치 겨자 식초 냉면사리 달걀 오이
땅콩콩국수,땅콩 호두 소면 소금 오이 계란
멸치청국장,청국장 된장 다시멸치 물 대파 두부 신김치 썰은것 청양고추 풋고추 양파 다진마늘
가지롤밥,가지 밥 소고기쌈장 소금 참기름 들기름 다진소고기 표고버섯 설탕 된장 고추장 다진마늘 참깨 올리고당
문어고추장조림,건문어 청양고추 간장 고추장 올리고당 황설탕 맛술 매실청 식초 후추 약간 참기름 깨 약간 기름 약간
봉골레크림파스타,딸리아딸레 파스타면 바지락 생크림 우유 화이트와인 마늘 페페론치노 그라나파다노치즈 약간 파마산 치즈가루 파슬리 소금 약간 후추 약간 올리브오일 적당량
아보카도쌈장,아보카도 고추장 마늘
옥수수치즈,찐옥수수 라이스페이퍼 모짜렐라치즈 체다치즈 연유 칠리소스
돼지고기함박스테이크,다진돼지고기 두부 양파 계란 다진마늘 빵가루 후추 소금 돈까스소스 케찹 올리고당 맛술
체리효소,체리 설탕
달걀만두피자,냉동만두 달걀 치즈 식용유
노오븐과일빵,핫케이크가루 달걀 우유 자두청 슈가파우더 조금
망고아이스바,망고 우유 아가베시럽
계란부추빵,모닝빵 부추 햄 다진마늘 식용유 삶은계란 마요네즈 백명란 케첩 식용유 약간
레몬오이물,오이 레몬 탄산수
오이노각무침,늙은오이
숙주볶음밥,숙주 대파 마늘 밥 베이컨 김가루
베이컨볶음,베이컨 그린빈 식용유 파마산치즈
카라멜마들렌,붕어틀 분량 우리밀 달걀 유기농 설탕 꿀 카라멜소스 소금 약간 베이킹 파우더 녹인버터 실온 버터 약간 덧가루 약간 초코펜
표고버섯애호박볶음,애호박 표고버섯 양파 소금 조금 참기름 조금 간장 다진마늘 맛술 통깨 조금
냉동만두,냉동만두 달걀
유자청멸치볶음,중멸치 슬라이스아몬드 유자청 마늘 식용유 미림 양조간장 액젓 참기름 청고추 통깨 조금
단호박볶음밥,단호박 달걀 밥 부추 원하는만큼 모짜렐라치즈 베이컨 소금 후추 식용유
돈가스버거,햄버거빵 돈가스 양상추 조금 토마토 피클 조금 양파 마요네즈 적당량 돈가스소스 양파다진거 버터 작은조각 후추 약간
숙주버섯찌개,느타리버섯 숙주나물 가득
애호박배추연두부국,연두부 배추 감자 애호박 청양고추 대파 적당량 액젓 소금 후추 약간 다시마 멸치
다시마채무침,건다시마채 양파
감자무스케이크,무스링 흰자 설탕 아몬드가루 박력분 슈가파우더 약간 감자 찐것 설탕 연유 생크림 바닐라빈 소금 약간 화이트초콜릿 우유 생크림 분말 젤라틴 물
데리야끼볶음밥,양념치킨 새송이버섯 양파 양념치킨소스 대파 간장 밥 계란
바닐라케익,백설바닐라케익믹스 계란 물
잡채그라탕,남은 잡채 토마토 파스타 소스 청양고추 모짜렐라 치즈
총각무된장지짐,푹 익어버린 총각무 국물용 멸치 쌀뜨물 적당량
황태포고추장무침,잘게 찢은 황태포
파프리카오이냉채,간장 올리고당 맛술 연겨자 식초 검정깨 약간
소고기양배추볶음,소고기 등심 스테이크용 양배추 양파 당근 청양고추 마늘 올리브오일 약간 화이트와인 약간 소금 약간 후추 약간 아가베시럽
잔멸치견과볶음,잔멸치 해바라기씨 호박씨
찹쌀녹두누룽지백숙,닭 대추 통마늘 생강 다진마늘
단호박맥앤치즈,찐단호박 양파 베이컨 시판토마토소스 삶은마카로니 체다치즈 식용유 모짜렐라치즈
사과김초밥,밥 식초 설탕 소금 약간 김밥김 오이 당근 사과 매실청 어묵 깻잎 햄 오이지 식용유 소금 참기름 참깨
김치어묵볶음밥,신김치 어묵 밥한공기 모짜렐라치즈 식용유
과일유자요거트샐러드,냉동과일 골드키위 생야채들 유자청 요거트 검은깨 건포도 꿀 약간
오이보트카나페,백오이 참치캔 삶은계란 양파 단무지 견과류 약간 마요네즈 꿀 머스터드 소금 허브솔트 약간 식초 황설탕 소금
문어라볶이,쌀떡 어묵 라면사리 대파 문어 삶은계란
청국장부대찌개,김치 양파 애호박 두부 햄 스팸 소고기민찌 떡국떡 청양고추 새송이버섯 대파 쌀뜨물
새송이버섯부추볶음,미니새송이버섯 부추 허브솔트 올리브유
구운가지기름떡볶이,떡국떡 가지 고춧가루 국간장 양조간장 양파청 맛술 마늘가루 다시마가루 표고가루 선택 후추 약간 소금 약간 식용유
솔치,총각김치 솔치 천연조미료 김치국물 물
계란치즈볶음밥,달걀 치즈 식용유
쪽갈비김치찌개,쪽갈비 묵은지 쌀뜨물 어묵
소시지국물떡볶이,물 밀가루떡 어묵 달걀 파 약간 프랑크소시지
연어고추볶음밥,연어캔 한개 양파 대파 풋고추 식용유 핫소스 고추장 케첩 청주 매실청 밥 계란후라이 통깨 약간
토마토치즈볼,방울토마토 큐브치즈 바질 발사믹크림 올리브유
진미채버터구이,진미채 땅콩버터 버터 흑설탕 소금 팝콘 적당히 맥주 콜라 적당히
파채골뱅이무침,골뱅이캔 대파 당근 소면 사이다 골뱅이캔 국물 고추장 고춧가루 간장 다진마늘 올리고당 식초 소금 매실청 참기름 약간 깨 약간
해파리손질,해파리 물 설탕 식초 맛술소주컵 파프리카 빨강노랑각 당근 약간 오이 크래미 진간장 소금 설탕 식초 다진마늘 머스터드소스 참기름 꿀
백도,복숭아 물 굵은소금 아주조금 설탕
만두치즈계란말이,달걀 물만두 치즈
복숭아,복숭아 칼
소세지돈부리,소세지 청양고추 쪽파 마늘 계란 밥
초코슈,물 버터 소금 설탕 박력분 코코아파우더 계란 작은거 커스터드크림 초코생크림
만두라자냐,만두 마늘 백설 고추장삼겹살 구이 양념 케챂 설탕 물 파프리카 방울토마토 양파 새송이버섯 모짜렐라치즈 적당량 파슬리가루 약간
날치알쌈,연어회 쌈채소 오이 고추 깻잎 날치알 고춧가루 액젓 설탕 다진마늘 식초 참기름 통깨 약간
연두부부추덮밥,부추 게맛살 연두부 밥
야채계란볶음밥,야채 다짐 계란 밥
연두부콩나물국,콩나물 연두부 대파 새우젓 다진마늘 소금 약간 국물멸치 황태부스러기 콩나물 소금 다진마늘 소금 참기름 다진파 깨소금 약간
통오징어,밥 당근 적당량 양파 적당량 호박 적당량 대파 적당량 청양초 적당량 연어통조림 오징어 멸치 육수 대파 약간 달걀 마늘 약간 청양초
꽈리고추마늘멸치볶음,꽈리고추 멸치 마늘
팥찰밥,찹쌀 데친팥 소금
골뱅이물회,양배추 적양배추 오이 파프리카 통조림골뱅이 청고추 홍고추 시판 냉면육수 고추장 식초 연겨자 다진마늘 참깨 다진마늘 참기름 참깨
우유컵케이크,박력분 우유 설탕 소금 약간 베이킹파우더
명란마요덮밥,밥 백명란 마요네즈 맛술 구운김 파프리카 부추 양파피클 약간 참기름 약간
퀴노아단호박샐러드,흙애서 퀴노아 단호박 옥수수 적당량 크림치즈 꿀 소금 약간
단호박오븐구이,미니 단호박 녹인 버터 꿀 다진 견과류 시나몬 가루
부추장아찌,부추 고추장 간장 매실청 올리고당 다진마늘 다시마우린물 소주
케찹탕수육,국내산 돼지고기 앞다리살 청주 소금 당근 양파 사과 땅콩 식용유 케찹 황설탕 올리고당 식초 고추장 간장 물녹말 검은깨
라면오코노미야끼,시판하얀라면 새송이버섯 양배추 달걀 밀가루 오코노미야끼소스 마요네즈 가다랑이포 식용유
냉수박스프,수박 노랑 파프리카 빨강 파프리카 주황 파프리카 연유
소불고기볶음,당면 청양고추 양배추 당근 송이버섯 양파 다진마늘 대파 들기름 물 소고기
닭다리살치즈구이,닭 다리 살 피자치즈 적당량 파슬리가루 조금 후춧가루 약간 청주 약간 고추장 고추가루 간장 미림 설탕 올리고당 다진마늘 참기름 생강가루 후춧가루
팽이버섯계란전,팽이버섯 계란 대파 당근 소금 참기름 부침유 약간
파프리카굴소스볶음,파프리카 당근 느타리버섯 양파 부추
해바라기씨멸치볶음,멸치 해바라기씨 설탕 식용유 참기름 물엿
토마토스파게티소스,토마토 홀 토마토 가능 케첩 양파 다진 마늘 버터 소금 설탕 물 올리브오일 후추 바질 월계수잎 치킨 톡스
렌틸콩,불린 렌틸콩 양파 호박 버섯 적당량 청양고추 대파 된장 술 고추장 육수 다진 마늘 술
낫토비빔밥,단무지 유부 낫토 밥
우뭇가사리냉채,참기름 통깨 우무 각종야채 간장 설탕 식초 우무 콩국물 얼음 토마토 오이 설탕 소금
베이컨버거,미국산 척아이롤 미국산 양지살 프로볼론치즈 베이컨 양파 달걀 그뤼에르치즈 버거 번 고르곤졸라 돌체 마요네즈 샤워크림 레몬주스 우스터소스 꿀 소금 우유
해물초무침,양파 오이 당근 약간 깻잎 청양고추 홍고추 약간 오징어 새우 고추장 고춧가루 다진 마늘 대파 요리초 깨소금 약간
미나리김치볶음밥,기준 김치 포기 미나리 좋아요 계란 프라이 인원수대로 밥
약밥케이크,재료 찹쌀 대추 깐 밤 해바라기씨 건포도 잣
자두아이스바,잘익은자두 아가베시럽 아이스바몰드
파프리카오이냉국,오이 파프리카 파프리카 홍고추 풋고추 참깨 식초 얼음 물 소금 설탕
냉국육수,식초 설탕 소금 얼음 물
파프리카된장무침,자투리파프리카 가시오이 양파 된장 밥숟가락 듬뿍 다진마늘 매실청 레몬즙 약간 깨소금 올리고당 참기름
회냉면,홍어 막걸리 레몬즙 식초 파 마늘 고춧가루 간장 배 오이 무 설탕
소세지김치빠에야,쌀 후랑크소세지 토마토 포옥익은배추김치 식용유 당근 다진마늘 물 카레가루 소금 약간 스팸 브로콜리 콘옥수수
된장밥전,찬밥 양파 계란 식용유 약간 쪽파다진것 된장 당근다진것 깨
바나나쌈장,바나나 된장 고추장 깨 약간
자소엽,자소엽 당근 다진파 다진마늘 홍고추 쪽파
수란라면,라면 대파 달걀
홍합어묵탕,더 건강한 어묵 홍합 콩나물 대파 쑥갓 조금 홍고추
흑임자샐러드,면 양상추 파프리카 닭가슴살 삶은계란
보리굴비손질,보리굴비 녹차물 얼음 밥
햄팽이버섯덮밥,햄 팽이버섯 양파 당근 조금 청양고추 대파
황도바나나잼,황도 복숭아큰거 바나나 레몬 제스트
구운가지밥버거,밥 가지 양념소스 올리브오일 매실청 소금 통깨 적당량 부추 양조간장 매실청 참기름 깨소금 다진피클
포도수제비,밀가루 포도즙
북어해장라면,북어포 라면 콩나물 어슷 썬 대파 어슷 썬 청양고추
양배추무물김치,무 양배추 또는 알배추 천일염 대파 또는 쪽파 부추 줌 적당 풋고추 청고추 물 다시마 찹쌀가루 또는 밀가루 물
밥통브라우니,버터 다크 초콜릿 달걀 우유 설탕 소금 밀가루 코코아파우더 베이킹파우더 슈가파우더 적당량 바닐라 아이스크림 적당량 냉동 블루베리 적당량 애플민트 약간
앤초비수육말이,소고기 파프리카 오이 앤초비 사과
박카스,얼음 박카스 파워에이드 적당
참나물된장국,참나물 다진마늘 청양고추 된장 국간장 약간 물 국그릇 다시마 국멸치
밤호박치즈파이,밤호박 강력밀가루 우유 이스트 슈가파우다 피자치즈 식용유나 버터
야채피자,당근 홍피망 숙주 파 고수 땅콩 마늘 홍고추 땅콩버터 흑설탕 레몬 피시소스 생강 땅콩 물 타이 칠리소스 따뜻한 물 이스트 설탕 올리브 오일 소금 강력분 밀가루
고추장돼지고기두루치기,돼지고기 목살 삼겹살 고추장 굴소스 마늘 매실청 물엿 참기름 양파 대파 소주 생강 약간
시금치계란부침,달걀 시금치 소금 약간
소고기감자애호박찌개,소고기 감자 애호박 두부 청양고추 홍고추 대파 참기름 술 다진 마늘 멸치육수 국간장 소금 조금
다시마롤,다시마 매실장아찌 밥 강된장 홍고추
멸치가루,멸치
밤호박라떼,밤호박 우유
어볶이,떡 양파 대파 당근 메추리알
양배추콩나물국,콩나물 양배추 대파 적당량 청양고추 다진마늘 새우젓 다시마 국물용 멸치
단호박스파게티,단호박 스파게티면 냉동새우 양파 우유 파마산치즈가루 체다치즈 후추 소금
닭고기월남쌈,라이스페이퍼 닭가슴살캔 오이 계란 깻잎 청양고추 양파 맛살 당근 사과 멸치액젓 다진 청양고추 다진 빨간파프리카 올리고당 사과즙과 양파즙 사과즙과 양파즙 연겨자 매실청 올리고당 식초 소금 후추 약간
바지락칼제비,칼국수 수제비반죽 당근 호박 느타리버섯 버섯 파 다시육수 바지락 마늘 후추 국간장 소금
카스파초,토마토 올리브유 오이 마늘 식빵 토마토페스트 양파 파슬리가루 레몬즙 설탕 소금
토마토카스파초,소면 토마토 카스파초
오이자몽스무디,오이 자몽 양상추 사과
냉국수,얼린멸치육수 데친유부 오이채 조금 팽이버섯 마른김 조금 삶은달걀 소면 멸치육수 맛간장 양파 파 마늘 생강 고춧가루 설탕 참기름 깨소금
시금치덮밥,시금치 달걀볶음 양파 건새우 다짐육 저민마늘 조금 파 쥐똥고추 액젓 식초 고춧가루 레몬즙 진간장 청양고추 설탕 메이플시럽 남은태국식 시금치 볶음 파스타면 소금 조금 올리브유 조금 파마산치즈가루 조금
바나나미숫가루쉐이크,얼린 바나나 미숫가루 우유 연유
멸치고추비빔장,풋고추 청양고추 멸치 다진마늘 들기름 물 간장 고춧가루 올리고당 통깨 살짝
김치순두부국,순두부 멸치간것 김치 대파
아레파,물 화이트콘밀 소금 티스푼
우엉간장장아찌,우엉 식초 홍고추 청양고추 황태머리 다시마 솔치 양파 소 건고추 사과 말랭이 무말랭이 당근 생강 단호박 말랭이 파뿌리 조금 육수 간장 참치액 매실청
청양고추고추장물,고추 간장 소주 식초 설탕 고추 물 소금 술 식초 고추 설탕 소금 청양고추 일반고추 홍고추 표고버섯 솔치가루 들기름 표고우린물 생강술 참기름
바비큐햄버거,돼지고기 돼지등심 루트비어없으면 콜라 시판용 바비큐소스
할라피뇨토스트,식빵 계란 옥수수통조림 약간 양파 우유 양배추 슬라이스치즈 케찹 마요네즈 딸기잼 할라피뇨
참외쉐이크,참외 얼음 또는 찬음료 적당량 꿀이나 시럽 생략가능
한라봉잼,한라봉 레드향 배즙 흑설탕 큰 수저
콘핫도그,핫도그빵 피클 양파 파프리카 옥수수콘 마요네즈 후춧가루 약간 케첩 적당
냉메밀국수,메밀국수 소면 무 쪽파 김 와사비 쯔유 설탕 다시마우린물 맛술
사과스무디,토마토 사과 샐러리 파프리카 레몬즙 생수
맛살달걀전,맛살 양파 깻잎 느타리버섯 달걀
떡갈비피자,시판 냉동 떡갈비 단호박샐러드 피자치즈 통조림 옥수수 다진피망 마요네즈
아이스큐브,원두커피
카라멜레어치즈케이크,디저트컵 노른자 설탕 우유 바닐라익스트랙 판젤라틴 크림치즈 요거트 생크림 카라멜 소스
레몬스쿼시,레몬청 탄산수 애플민트얼음 적당량 레몬슬라이스 라임슬라이스
콩나물북어라면,라면 북어채 콩나물 무 조금 달걀 대파 청양고추
호래기갈비탕,소갈비탕용 무 파뿌리 마늘 호래기
햄치즈마늘토스트,식빵 햄 치즈 허니머스터드 마늘 버터 파슬리가루 약간
마요만두,냉동만두 마요네즈 설탕 올리고당 식초 소금
만두달걀볶음밥,냉동만두 밥 달걀 대파 양조간장 맛술 참기름 통깨
팽이버섯계란국,계란 팽이버섯 양파 대파 국물용멸치 다시다 새우젓
가지마늘토마토밥,쌀 토마토간것 육수 또는 물 가지 통마늘 적당량 다시마 약간 맛간장 올리브오일 양념장 계란
김치묵사발,물 조각다시마 묵 오이 김치 얼음
시금치스프,버터 대파 샐러리 줄기 밀가루 물 감자 우유 시금치 닭 가슴살 다진 마늘
우유토스트,식빵 쨈 치즈 파슬리가루 우유
잼,우유 황설탕 에스프레소
두부간장강정,두부 전분가루 대파 약간
깻잎감자채전,감자 깻잎 양파 식용유
체리잼,체리 설탕
파프리카냉국,가지 노랑 빨강 파프리카 통깨 약간 얼음 적당량 소금 설탕 식초 물 마늘 국간장 고추가루
닭가슴살미역오이냉국,닭가슴살 미역 오이 청고추 방울토마토 국간장 통깨 참기름 다시마물 국간장 식초 설탕
사과청,아오리사과 설탕
토마토계란버거,빵 토마토 계란 식용유 약간
토마토에이드,토마토 설탕 탄산수
고추장소세지볶음,분홍소세지 맛타리 새송이 표고버섯 홍 파 노 파 청 피 애호박 양파 대파
홍떡,식빵 황설탕 버터 견과류다진것
북어찌개,북어 애호박 양파 두부 파 다진것 고추장 된장 생강가루 고춧가루 다진마늘 국간장 후추 약간 물
북어수제비,얼큰북어찌개 남은것 수제비반죽
두부보관,두부 키친타올 일회용비닐봉지 여러장
우유불닭볶음면,불닭볶음면 우유
바나나에이드,바나나 설탕 탄산수
들깨순두부,순두부 양파 감자 작은것 표고버섯 다진마늘 대파 들깨가루 다시팩
돼지고기야채고추장찌개,국내산돼지고기 각종야채 고추장 간장 고춧가루 다진마늘 다진생강 미림 후춧가루 설탕 참기름 들기름
버섯쪽파브로콜리숙회,팽이버섯 쪽파 브로콜리
파프리카어묵소시지볶음,파프리카 어묵 비엔나소시지 식용유 약간
무말랭이제육볶음,돼지고기 앞다리살 무말랭이김치 양파 청주 약간 고춧가루 올리고당 약간 후춧가루 참기름 검은깨
도토리묵야채말이,재료 도토리묵 노랑 파프리카 빨강 파프리카 양파 느타리버섯 오이 다진마늘 청양고추 다진쪽파 조금 국간장 진간장 참기름 설탕 깨소금 약간
두부김치떡볶이,절편떡 다진돼지고기 대파 배추 김치 약간 두부 고추장 올리고당 약간 고춧가루 간장 깨 약간
닭봉강정,카레가루 녹말가루 포도씨유 적당량 튀김가루 계란흰자 참기름 약간
양파링치즈밥전,찬밥 양파 당근 모짜렐라 슬라이스치즈 브로콜리 튀김가루 소금 계란 후추 약간 참기름 깨 약간 부침유 약간
만능춘장,춘장 다진 돼지고기 양파 대파 식용유
짜장볶음밥,만능춘장 달걀 찬 밥 양배추 조금
방아잎부추장떡,방아잎 부추 양파 청양고추 홍고추 밀가루 물
고동삶는법,고동 소금
햄치즈베이글샌드위치,블루베리베이글 햄 치즈 라디치오 상추 마요네즈 허니머스터드
밤호박옥수수튀김,밤호박 옥수수캔 튀김가루 전분 식용유 물
임자수버섯들깨탕,들깨 임자수 볶은땅콩 닭고기살 백일송이 새송이 느타리 표고 맛타리 팽이 소금 맛간장 후추 약간 설탕 고추가루 시판용삼계탕재료 파뿌리 다진마늘 천연가루
양배추샤브샤브,샤브샤브육수 맛술 간장 양송이버섯 소고기등심잘게썬것 양배추 콩나물 동그랑땡 다진마늘 왕만두 애호박 쌀면 계란 밥 후추 약간 참기름
돼지갈비탕,돼지갈비 무 양파 마늘 대파 생강 표고버섯 맛술 국간장 달걀
땅콩소스,땅콩버터 간장 맛술 설탕 깨 식초 소금 다시마물또는 샤브샤브육수
양배추김치스팸볶음밥,익은양배추김치 스팸다진것 다진마늘 밥 양파 후추 약간 식용유
우유스파게티,스파게티면 우유 버터 캡사이신 후추 약간 스팸다진것 브로콜리 다진마늘 계란 땅콩가루 약간
약고추장김치볶음밥,썰은 김치 김치국물 조금 올리브유 조금 밥 약고추장 계란 간장 팜기름 조금 물
양송이버섯볶음,양송이버섯 양파 양배추 조금
녹두도라지닭백숙,닭한마리 녹두 은행 약간 대추 인삼가루 건도라지 통마늘
토마토달걀국,토마토 달걀 양파
닭야채전골,닭한마리 생강 청주 약간 마늘 후춧가루 약간 대파 청양고추 설탕 배추 버섯 호박 감자 국간장 진간장 다진마늘 소금 약간
우유계란찜,달걀 우유 물 각종다진야채 약간 파 약간
그린커리,그린커리페이스트 코코넛밀크 마늘 올리브유 파프리카 양파 삶은감자 냉동해물 약 설탕 피쉬소스 건조바질 약간 바질잎 취향껏
양배추부추볶음,양배추 부추 홍고추 기름 물 간장 다진마늘
연어땡초김밥,연어캔 김밥김 오이 당근 깻잎 맛살 밥 계란 땡초 기름 약간 마요네즈 머스터드 후추 약간 깨 약간 물 황설탕 식초 소금 약간
소고기표고버섯덮밥,차돌박이 건표고버섯 양파 당근채 건파프리카 고추 깻잎 간장 굴소스 매실청 다진마늘 생강술 올리고당 다진파 표고버섯우린물 설탕 참기름 후추 조금
고추장아찌절임,삭힌고추 고추가루 물엿 대파 참기름 통깨
누룽지닭백숙,닭 탄산수 대파 양파 통마늘 누룽지 대추 황기
참치김치국밥,매운 고추 참치 콩나물 김치 파 청양고추 양파 부추 약간 다진 마늘 고춧가루 후추 약간 물 계란 표고버섯 국간장
쇠고기간장떡볶이,떡볶이떡 채 썬 쇠고기 표고버섯 청피망 홍피망 양파 고추기름 설탕 간장 굴소스 청주 물 다진마늘 참기름 부순 참깨 후춧가루 약간
소라장,참소라 통마늘 양파 대파 생강 청양고추 통후추 진간장 사이다 물 청주
쟁반짜장,모듬해물 대파 만능춘장 부추 조금 청양고추 스파게티면 동전 크기 한 줌 양파 양배추 조금 가지
베이컨시금치볶음,시금치 베이컨 마늘 소금
아보카도비트연어샐러드,연어 양상추 비트 치커리 아보카도 무순 빨 노 파프리카채
된장미역국,소고기 마른미역 된장 천연조미료 어간장 참기름
닭면볶이,양파 면 닭가슴살 대파 모짜렐라치즈 체다치즈
들깨부추죽,밥 다시마우린물 양파 들깨가루 부추
할라피뇨피클,할라피뇨고추 설탕 식초 간장 물 대추 표고버섯 다시다 통마늘
감자채볶음토스트,감자 양파 슬라이스햄 대파초록부분 팽이버섯 식용유 허브솔트 피자치즈 식빵 케첩
오이연어샐러드,연어통조림 파프리카 적양파 블랙올리브
마늘치킨샐러드,남은치킨 마늘 양파 어린잎 간장 맛술 큰술 올리고당 사과주스 후추 약간 바질가루 파슬리가루 식초 참기름 설탕 소금
계란쌈말이,계란 소금 약간 청색 파프리카 빨간 파프리카 맛살 적양배추 약간 양파 오이 부추 약간 연겨자 설탕 간장 식초
소고기두부볶음,두부 다진소고기 다진소고기 맛술 간장 설탕 참기름 다진마늘 다진파 후추 톡톡톡 들기름 올리브유
골뱅이고추장찌개,골뱅이 감자 애호박 양파 고추 대파
목살끈기덮밥,목살 달걀 양파
얼음,자두 샐러리 오이 포도 조금 방울토마토 조금 파인애플식초원액 아메리카노커피 허브잎
반세오,계란 쌀가루 강황가루 칵테일새우 닭가슴살 숙주 빨강 파프리카 조금 노랑 파프리카 조금 청양고추 물 올리브유 간장 생강술 다진마늘 참기름 후추 조금 피쉬소스 청양고추
함박스테이크샌드위치,소불고기 남은것 돼지불고기 남은것 콩나물 숙주 빵가루 식빵 샐러드 조금 크림치즈 조금
토마토밥,토마토 밥 소세지 애호박 샐러드 계란 장아찌 어묵볶음 양파피클 약간 쌀 토마토 간것 올리브오일 소금 양배추채 어린잎채소 깨 소스 적당량 맛간장 발사믹크림 삶은계란 맛간장
오징어젓갈무침,양념오징어젓갈 다진홍고추 다진청양고추 채썬실파 다진마늘 잣
채끝등심바나나꼬치,채끝등심 동그랑땡 바나나 계피가루 버터 어린잎채소 조금 소금 조금 후추 조금 생와사비 조금 올리브유 함박스테이크
복숭아요거트케이크,실온 버터 설탕 계란 그릭 요거트나 수분 제거한 요거트 바닐라 익스트랙 박력분 베이킹 파우더 베이킹 소다 소금 약간 천도복숭아 위에 뿌릴 설탕 시나몬 파우더
베이컨버섯볶음,어린새송이버섯 베이컨 양파 데리야끼소스 후추 약간 깨소금 약간
소고기튀김,샤부샤부용 소고기 찹쌀가루 전분가루 상추 쌈 채소 조금씩 소금 후춧가루 맛간장 식초 물 설탕 연겨자 대파
비트엔초비계란말이,계란 비트 양파 엔초비 청양고추 피망
스팸깻잎라이스페이퍼튀김,스팸 양파 작은거 고추
천도복숭아빵,핫케이크가루 달걀 우유 버터 천도복숭아 천도복숭아 설탕
폴렌타,소금 적당량 파마산치즈 취향껏 후추 올리브오일 화이트콘밀 물
아나고회무침,아나고 깻잎 양배추잎 오이 상추
무화과스무디,토마토 무화과 참 외 바나나
과일롤샌드위치,식빵 참외 복숭아 플레인 요구르트 마요네즈 딸기잼
바나나퀘사디아,바나나 또띠아 누텔라나 초코잼 적당량 볶은 해바라기씨앗 약간 유기농 설탕 약간 계피가루 적당량
해물숙주볶음밥,모둠해물 애호박 당근 피망 양파 햄 숙주 찬밥데운것 달걀
오징어채버터구이,오징어채 버터 설탕 파슬리가루 조금
치즈떡계란말이,달걀 소금 약간 모차렐라치즈
베이컨에그롤토스트,식빵 베이컨 파슬리 달걀 물 소금 설탕 삶은달걀 양파 소금 마요네즈 케찹 홀그레인머스터드 후추 약간
땅콩지리멸치볶음,지리멸치 생땅콩 홍고추 잣
부추삼겹살,삼겹살 구운소금 후추 부추 양파 청양고추 설탕 고추가루 소금 매실액 식초 참기름 마늘
애호박볶음메밀국수,애호박 양파 메밀국수
감말랭이우유빙수,우유 물 메이플시럽 감말랭이 검은콩가루
고추멸치무침,아삭이고추 건멸치 식용류 넉넉히 고추장 간장 미림 약간 올리고당 참기름 약간 깨 약간
다시마롤초밥,밥 식초 설탕 소금 참기름 고추장 식초 올리고당 매실청 참기름 깨소금 아몬드슬라이스
천도복숭아샐러드,천도복숭아 자두 어린잎채소 스모크치즈 올리브오일 망고발사믹크림 레몬즙 아가베시럽 천일염 통후추 약간
마늘종고추장주먹밥,밥 약 마늘쫑 고추장 단무지 후리카케 참기름 통깨 약간
