food,description
생크림케이크,계란 설탕 박력분 버터 바닐라액 오렌지술 생크림 설탕 벚꽃절임 적당량 피스타치오 적당량 컬러슈가 적당량 오렌지 설탕 물 오렌지술
까망베르치즈케이크,까망베르치즈 생크림 계란노른자 설탕 박력분 레몬즙 오렌지술 오렌지액 제노아즈 슈가파우더 견과류 약간 초코렛 약간 흰자 설탕
시래기들깨탕,사골국물 시래기 송송 썬 대파
크림치즈딸기카나페,크래커 딸기 귤 블랙올리브 슬라이스햄 방울토마토 치즈 크림치즈
동태전,동태포 밀가루 달걀 다진 대파 다진 붉은고추
꽁치김치찌개,꽁치 김치 양파 홍고추 대파 김치국물 물 식용유 다진마늘 고춧가루 소금 약간
모카쿠키,아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕
갈치조림,갈치 무 감자 물 풋고추
초콜렛,생크림 다크초콜렛 밀크 초콜렛 물엿 버터 깔루아 코코아가루 적당히
코다리양념구이,코다리 다진대파
쿠키,아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕
빵,강력분 설탕 계란 소금 인스턴트 드라이이스트 버터 우유
고구마크림치즈구이,고구마 큰것 계란노른자
부추된장국,부추 국물용멸치 다시마 물 두부 붉은고추
깐풍코다리,코다리 양파 빨간 피망 파란 피망 대파 건고추 통마늘 계란 녹말가루 박력쌀가루 소금 작은술 소금 생강술 후춧가루 약간 고추기름 진간장 굴소스 설탕 식초 올리고당 생강술 고추기름 후춧가루 약간 참기름
아몬드초콜렛,통아몬드 설탕 물 다크 초콜렛 버터 슈가 파우더나 코코아가루 적당량
딸기케이크,딸기 작은사이즈 제노아즈 바닐라액 딸기퓨레 미로와 물엿 판젤라틴
부추제육볶음,부추 돼지고기목살 양파 붉은고추 맛술 소금 약간 후춧가루 약간 고추장 고춧가루 간장 다진마늘 설탕 참기름
모카초코칩머핀,버터 설탕 달걀 박력분 우유 인스턴트커피 베이킹파우더 초코칩
김치오믈렛,계란 우유
새우버거,새우살 양파 빵가루 계란 밀가루 소금 양상추 치커리 피클 방울토마토 마요네즈 허니머스타드소스 홀그레인 씨겨자
충무김밥,무 오징어 밥 김 물 식초 설탕 소금 고춧가루 고추장 간장 식초 다진마늘 설탕 물엿 참기름 후춧가루 약간
단호박찜케익,박력쌀가루 호박가루 설탕 계란 우유 플레인요구르트 베이킹파우더 식용유 소금 약간 팥설탕조림 또는 팥배기
연어간장조림,연어포 새송이버섯 편생강 브로콜리 돈나물 춘권피 파 흰부분
햄크림파스타,스파게티면 로테나 푸실리 통조림햄 작은것 브로콜리 양파 새송이 버섯 다진마늘 올리브유 붉은피망 생크림 우유 에멘탈치즈나 파마산치즈
로쉐,다크쵸콜릿 견과류 초코펜 약간
느타리버섯구이,느타리버섯 고추장 고춧가루 다진 마늘 다진 파 깨소금 참기름 소금 맛간장 매실엑기스 설탕
딸기가나슈케이크,생크림 딸기 장식용 초코렛 조금 박력분 버터 설탕 계란 코코아가루 다크초코렛 생크림
베이컨,삼겹살 또는 오겹살
떡볶이,잡채 김 밀가루 떡국떡 어묵 대파 튀김가루 찬 맥주 국물용 멸치 물 고추장 고춧가루 간장 다진마늘 물엿 설탕 참기름 깨소금 약간
쌈밥,흰쌀밥 통조림햄 작은것 꽃상추
순두부찌개,순두부 돼지고기 양파 애호박 물 달걀 청양고추 홍고추 대파 고춧가루 간장 다진 마늘 맛술 소금 약간 후춧가루 약간
식혜,엿기름 물 생강 불린쌀 물
고구마야채튀김,고구마 양파 당근 느타리버섯 튀김가루 달걀 찬맥주 간장 고춧가루 참기름 약간 통깨 약간
식빵,강력분 계란
카스테라,박력분 계란노른자 계란 정도 오일 럼주
닭개장,닭 단배추 토란대 고사리 숙주나물
초코바,아몬드슬라이스 쌀크로칸트 헤즐넛 생크림
퍼지브라우니,중력분 계란 베이킹파우더
마늘바게트,바게트빵
모카빵,강력분 버터 설탕 우유 인스턴트이스트 소금 뜨거운물 커피 깔루아 건포도 호두 약간 박력분 설탕 계란 우유 베이킹파우더 베이킹소다 모카에센스
삼색상투과자,백앙금 아몬드가루 노른자 생크림 물엿 녹차가루 백년초 가루 단호박가루
캬라멜크림,생크림 설탕 찬물
옥수수식빵,유기농 옥수수가루 유기농 강력분 물 우유 드라이이스트 스위트콘
망고레어치즈케이크,크림치즈 오렌지술 레몬즙 화이트초코렛 생크림 다이제쿠키 버터 망고슬라이스 통조림 피스타치오 조금 미로와 조금
치킨까스카레덮밥,감자 양파 당근 닭가슴살 닭가슴살 달걀
요거트스콘,박력분 소금 베이킹 파우더 베이킹소다 설탕 요거트 크랜베리 후르츠믹스 계란물 약간
야채피클,백오이 연근 중간크기 적양배추 양파 큰 것
오렌지탕수육,돼지고기 오렌지 양파 피망 붉은피망 목이버섯 달걀 녹말가루 물 밀가루 녹말가루 간장 맛술 포도씨유 소금 약간 후춧가루 약간 케첩 설탕 식초 간장 물
떡갈비,갈빗살 다진양파 다진마늘 다진 밤 다진 대추 다진파 다진 양송이 잣 다진거 찹쌀가루 배즙 생강즙 깨소금 간장 설탕 꿀 참기름 청주 후추 소금 약간 간장 조청 꿀 참기름
달래김무침,달래 김 깨소금
키위바나나잼,키위 바나나 중간것
멸치무침,중멸치 잔파 약간
달걀찜,달걀 물 다시마 다진파 약간
오렌지닭봉구이,닭봉 오렌지 우유 다진마늘 소금 후춧가루 약간 오렌지 주스 설탕 식초 물엿 굴소스 핫소스 물
햄야채키슈,계란 노른자 생크림 넛맥 후춧가루 소금 강력분 박력분 버터 계란 소금 우유 또는 물 통조림햄 작은것 브로콜리 양파 새송이 버섯 큰것 파프리카 중간것 모짜렐라치즈 또는 에멘탈치즈
견과류파운드케익,박력쌀가루 버터 황설탕 계란 생크림 와인 헤즐넛가루 시나몬가루 베이킹 파우더 은술 소금 약간 다크 쵸콜릿 다진 것 피칸 다진 것 통피칸 약간 호두 약간 피스타치오 약간 통아몬드 약간 와인에 절인 건조산딸기 팔각
파운드케이크,포도주 꿀 팔각 레몬껍질 푸룬 버터 설탕 박력분 계란큰것 베이킹파우더 온수 레몬즙 슈가파우더
돼지고기야채볶음,돼지고기 양파 빨강 노랑 파프리카 브로콜리 마늘 진간장 청주 생강가루 참기름 후춧가루 조금 두반장 고추기름 멸치육수 간장 청주 참기름
쌀가루치즈케이크,크림치즈 설탕 달걀 바닐라오일 아몬드가루 햇방아 쌀가루 생크림 프룬 적당량 호두 적당량
연어계란샐러드,양상추 돈나물 계란 훈제연어
해물김치볶음밥,김치 새우 오징어 양파 당근 밥 다진마늘 다진생강 포도씨유 맛술 소금 약간 후춧가루 약간 케첩 설탕 물엿 핫소스 굴소스 참기름
닭가슴살두부강정,닭가슴살 두부 땅콩 계란 노른자 다진 마늘 작은술 부추 소금 생강술 후춧가루 약간 고추장 듬뿍 토마토케첩 머스타드 멜린다 핫소스 설탕 올리고당 후춧가루 약간 진간장 물
두부또띠아피자,또띠아 두부 청피망 빨강 파프리카 노랑 파프리카 양파 베이컨 피자치즈 적당량 파슬리가루 조금
차돌박이된장찌개,차돌박이 두부 작은 것 애호박 감자 양파 청양고추 홍고추 팽이버섯 대파 멸치다시물 소금 약간 후춧가루 약간 생강술
캬라멜와플,강력분 박력분 계란 설탕 버터 캬라멜크림 우유 드라이 이스트 생크림 우유 캬라멜크림 설탕
사탕,설탕 물엿 물 식용색소 조금 실리콘몰드 반지
케이크,버터 설탕 계란 소금 조금 꿀 생크림 오렌지술 박력분 아몬드분말 코코넛분말 베이킹파우더 파인애플슬라이스통조림 병조림체리
떡케익,찹쌀가루 설탕 대나무가루 약간 호박가루 약간 체리쥬스가루 약간 각 칼라별로 물 카스테라가루 멥쌀가루 설탕 물 설탕물에 졸인 검은콩 찹쌀가루 설탕 팥앙금
코다리조림,코다리 나박썬무 청양고추 물
꼬막볶음,꼬막 양파 청 홍고추 각 대파 당근 아주조금 애호박
연두부샐러드,불리지 않은 백태 물 한천가루 소금
잉글리시머핀,강력분 이스트 설탕 소금 버터 분유 식초 물 옥수수가루 적당량
단호박머핀,박력분 단호박가루 단호박 버터 설탕 달걀 베이킹파우더 소금 우유 바닐라오일 조금
카레돼지불고기,돼지고기불고기감 청주 청피망 당근 양파 애느타리버섯 대파
컵계란빵,핫케이크가루 우유 달걀 달걀 슬라이스치즈 파슬리가루 약간
딸기견과류샐러드,딸기 사과 귤 샐러드채소 방울토마토 아몬드 땅콩 피스타치오 딸기 요구르트 꿀 레몬즙
캬라멜마블파운드케이크,박력분 베이킹 파우더 우유 계란 버터 설탕 캬라멜크림
유자제육볶음,돼지고기 양파 풋고추 붉은고추 달래
제누아즈,달걀 설탕 물엿 박력분 식용유 바닐라 오일
딸기생크림케이크,딸기 키세스초콜릿 장식용왕관택
샤벳,검은콩 두유 생크림
롤케이크,박력분 계란 설탕 우유 벌꿀 버터 딸기시럽 딸기파우더 생크림 설탕 딸기시럽
등갈비바베큐,등갈비 생강술 소금 월계수잎 통후추
쵸콜릿,아몬드가루 허니파우더 계란흰자 대잎분말가루 다진 피칸 바닐라액 다크쵸콜릿
모과차,모과
오렌지마들렌,박력분 설탕 버터 포피씨드 레몬즙 달걀 우유 오렌지 껍질 베이킹 파우더 바닐라향 약간
아마씨식빵,아마씨 믹스 동봉된 이스트 따뜻한물 포도씨유 치즈
두부샌드그라탕,두부 쇠고기 대파 피자치즈 적당량 포도씨유 약간 소금 약간 진간장 핫소스 설탕 마늘 청주 참기름 후춧가루 조금
브로콜리새우볶음밥,칵테일 자숙새우 데친 브로컬리 삶은 계란 밥 베이비채소 약간
딸기버터케이크,버터 설탕 달걀 박력분 우유 베이킹파우더 바닐라오일 딸기 약 생크림 나빠쥬 광택제 약간
콘브레드,중력분 옥수수가루 계란 버터 우유 베이킹파우더 저는 베이킹소다 소금 설탕 취향에 따라 물기뺀 옥수수알 겉에 바를 노른자
귤머핀,박력분 아몬드가루 버터 설탕 계란 베이킹파우다 귤 우유 바닐라오일 조금
굴비탕수육,싱싱한참 굴비 튀김용기름 적당량 녹말가루 조금 당근 청피망 목이버섯 오이 대파 윗부분 마늘 생강 청주 진간장 진간장 식초 설탕 멸치육수 물녹말 참기름
풋마늘오징어무침,풋마늘 오징어
버거,바다로 동태 햄버거빵 체다치즈 빵가루 소금 후춧가루 약간 계란 양파 피클 양상추 토마토 약간 삶은 계란 마요네즈 허니머스터드소스 피클 파슬리 식초 레몬즙 소금 약간
치즈케이크,크림치즈 설탕 계란 옥수수전분 생크림 레몬껍질 다이제쿠키 버터
칠리참치롤,칠리참치통조림 밥 오이 날치알 무순 오렌지쥬스 식초 설탕 소금 마요네즈 약간
쉬림프딸기샐러드,새우 딸기 양상추 치커리 튀김가루 달걀 물
귤쥬스,껍질을 깐 귤 생강
감귤젤리아이스바,가루 젤라틴 물 감귤통조림
캬라멜비스코티,계란 설탕 캬라멜크림 통아몬드 아몬드가루 박력분 베이킹파우더
바닐라설탕,흰설탕 바닐라빈
딸기바나나크레이프,계란 우유 바나나 냉동딸기 다진 피칸 바질잎 약간 버터
설렁탕깍두기,깍둑썬 무 사이다 대파
녹차롤케이크,박력분 계란 설탕 우유 꿀 버터 녹차가루 생크림 설탕 물 버터 소금 설탕 박력분 계란 우유 바닐라액 계란노른자 설탕 옥수수전분
연유,우유 설탕이 우유의 설탕
새우탕수,새우 양파 피망 파프리카 파인애플 통마늘 튀김용기름 계란노른자 녹말가루 녹말가루 물 소금 후춧가루 레몬즙 진간장 식초 케첩 후춧가루 약간 올리고당 설탕 참기름 핫소스 식용유 물
칼국수,칼국수 감자 애호박 계란 새우 표고버섯 당근 약간 대파 멸치육수
상하이파스타,스파게티면 껍질 깐 생새우나 칵테일새우 청피망 작은것 양파 빨간 파프리카 작은것 청양고추 팽이버섯
양상추샌드위치,롤빵 베이컨 양상추 방울토마토
돼지갈비찜,돼지갈비 당근 양파 마른표고채 물
파운드,파운드케익틀 큰거 한개 분량 버터 설탕 박력분 계란 베이킹파우더 소금 조금 레몬액기스 레몬즙 모카액기스 깔루아
전복죽,전복 불린 쌀 물
계란장조림,계란
콩나물곤약비빔면,실곤약 콩나물 당근 김밥용햄 크리미 쪽파 조금 통깨 조금
짜장면,짜장면발 양파 작은 크기 감자 당근 애호박 돼지고기안심 옥수수캔 조금 삶은 달걀 마늘 녹말물 오이 물 포도씨유 적당량 소금 청주 후추 춘장 설탕 물엿
파전병,밀가루 소금 뜨거운물 참기름 다진파 소금 베이컨 기름 초간장 양파 베이컨 소금 후추 발사믹식초 허니머스터드소스 샌드위치빵
가토쇼콜라,버터 다크초콜렛 설탕 달걀 레드와인 소금 무가당 생크림 박력쌀가루 무가당 발로나 코코아 가루 장식용 슈가파우다 약간 적당히 레드와인에 절인건포도
녹차팥파운드케이크,박력분 설탕 버터 녹차가루 계란 베이킹 파우더 바닐라오일 약간 팥배기
훈제연어롤,밥 오이 맛살 단무지 참치캔 김밥 김 훈제연어 슬라이스 식초 설탕 소금 참기름
조개구이,게조개 계란 노른자 두부 대파 풋고추 약간 홍고추 약간 미니파프리카 삶은 계란
클램차우더스프,대합 작은거 브로콜리 양송이 양파 감자 생크림 물 파슬리가루 약간 밀가루 우유 올리브유
